rank,city,country,region,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index,avg_monthly_net_salary_usd,monthly_rent_1br_city_center_usd,monthly_rent_1br_outside_center_usd,petrol_price_usd_per_liter,annual_inflation_rate_2025_pct,population_city_millions,cost_crisis_tier,crisis_label,oil_shock_exposure,rent_to_salary_ratio_pct,data_year,baseline_city
21,Stockholm,Sweden,Northern Europe,78.6,36.1,59.7,72.8,82.0,116.9,3600,1264,850,1.88,2.2,0.99,2,High Cost – Manageable,Low,67.2,2026,"New York, USA (index=100)"
22,Paris,France,Western Europe,78.6,43.5,62.9,77.9,75.2,118.0,3200,1523,950,1.8,1.8,2.16,2,High Cost – Manageable,Medium,62.4,2026,"New York, USA (index=100)"
23,Dublin,Ireland,Western Europe,76.7,59.7,69.1,71.7,89.2,114.6,4200,2090,1400,1.98,3.5,1.47,2,High Cost – Manageable,Medium,67.0,2026,"New York, USA (index=100)"
24,Munich,Germany,Western Europe,76.1,45.4,62.4,63.5,81.9,142.7,4100,1589,1050,1.85,2.9,1.56,2,High Cost – Manageable,Medium,66.1,2026,"New York, USA (index=100)"
25,Chicago,United States,North America,76.0,55.2,66.7,82.6,81.6,157.6,5000,1932,1300,0.93,3.1,2.7,2,High Cost – Manageable,Low,67.3,2026,"New York, USA (index=100)"
26,Hong Kong,Hong Kong,East Asia,75.2,63.1,69.8,75.1,51.1,91.6,3800,2209,1450,2.45,2.0,7.49,2,High Cost – Low PPP,High,65.6,2026,"New York, USA (index=100)"
27,Sydney,Australia,Oceania,75.1,53.8,65.6,79.2,69.6,117.1,4100,1883,1200,1.03,3.5,5.31,2,High Cost – Housing Crisis,Medium,63.7,2026,"New York, USA (index=100)"
28,Helsinki,Finland,Northern Europe,74.3,29.4,54.3,70.6,82.2,123.5,3200,1029,700,1.82,2.1,0.66,2,Moderate Cost,Low,68.0,2026,"New York, USA (index=100)"
29,Frankfurt,Germany,Western Europe,74.0,36.1,57.1,66.8,75.7,156.6,4200,1264,820,1.85,2.9,0.76,2,Moderate Cost,Medium,64.9,2026,"New York, USA (index=100)"
30,Auckland,New Zealand,Oceania,74.0,49.0,63.0,80.0,73.0,98.0,3200,1715,1100,1.65,3.0,1.62,2,High Cost – Manageable,Medium,64.1,2026,"New York, USA (index=100)"
31,Vienna,Austria,Western Europe,73.9,29.6,54.2,74.0,75.0,133.5,3500,1036,700,1.57,3.2,1.93,2,Moderate Cost,Medium,67.6,2026,"New York, USA (index=100)"
32,Brussels,Belgium,Western Europe,73.5,33.1,55.5,72.0,89.6,128.0,3200,1159,750,1.64,2.8,0.18,2,Moderate Cost,Medium,64.7,2026,"New York, USA (index=100)"
33,Milan,Italy,Western Europe,73.1,41.4,58.9,70.3,78.2,83.5,2500,1449,900,1.78,1.5,1.37,3,Moderate Cost – Low PPP,Medium,62.1,2026,"New York, USA (index=100)"
34,Vancouver,Canada,North America,73.0,63.0,68.0,74.0,75.0,97.0,3200,2205,1450,1.35,2.8,0.67,3,High Cost – Severe Housing,Low,65.8,2026,"New York, USA (index=100)"
35,Dallas,United States,North America,72.9,45.8,60.8,75.6,72.5,149.5,5200,1603,1050,0.93,3.1,1.34,2,Moderate Cost – High Wages,Low,65.5,2026,"New York, USA (index=100)"
36,Toronto,Canada,North America,72.0,56.0,65.0,72.0,74.0,108.0,3500,1960,1250,1.35,2.8,2.93,2,High Cost – Housing Crisis,Low,63.8,2026,"New York, USA (index=100)"
37,Melbourne,Australia,Oceania,72.0,47.0,60.5,76.0,72.0,112.0,3800,1645,1050,1.03,3.5,5.07,2,High Cost – Housing Crisis,Medium,63.8,2026,"New York, USA (index=100)"
38,Hamburg,Germany,Western Europe,71.9,32.4,54.2,63.8,75.1,142.3,3900,1134,720,1.85,2.9,1.84,2,Moderate Cost,Medium,63.5,2026,"New York, USA (index=100)"
39,Houston,United States,North America,70.5,43.0,58.5,72.0,70.0,140.0,5100,1505,950,0.93,3.1,2.3,2,Moderate Cost – High Wages,Low,63.1,2026,"New York, USA (index=100)"
40,Dubai,United Arab Emirates,Middle East,68.0,52.0,61.0,63.0,53.0,122.0,4000,1820,1100,0.85,3.1,3.6,2,High Cost – Tax Free,High,60.4,2026,"New York, USA (index=100)"
41,Tokyo,Japan,East Asia,63.0,31.0,49.0,64.0,56.0,88.0,2800,1085,700,1.28,2.8,9.73,3,Moderate Cost – Yen Weakness,High,64.5,2026,"New York, USA (index=100)"
42,Doha,Qatar,Middle East,62.0,35.0,50.0,62.0,50.0,145.0,4500,1225,750,0.5,1.8,2.65,1,Low Cost – High Wages,High,61.2,2026,"New York, USA (index=100)"
43,Shanghai,China,East Asia,60.0,37.0,50.0,55.0,50.0,80.0,2300,1295,800,1.1,0.9,24.9,3,Moderate – High Rent Ratio,Medium,61.8,2026,"New York, USA (index=100)"
44,Seoul,South Korea,East Asia,59.0,38.0,50.0,61.0,53.0,95.0,2600,1330,850,1.45,2.1,9.9,3,Moderate Cost,Medium,63.9,2026,"New York, USA (index=100)"
45,Beijing,China,East Asia,58.0,30.0,46.0,53.0,48.0,82.0,2100,1050,620,1.1,0.9,21.9,3,Moderate – Slowing Economy,Medium,59.0,2026,"New York, USA (index=100)"
46,Prague,Czech Republic,Eastern Europe,57.0,28.0,44.5,52.0,63.0,95.0,1800,980,580,1.45,3.5,1.31,3,Moderate Cost,Medium,59.2,2026,"New York, USA (index=100)"
47,Warsaw,Poland,Eastern Europe,55.0,23.0,41.0,50.0,59.0,88.0,1600,805,480,1.42,5.0,1.86,3,Moderate – Rising Fast,Medium,59.6,2026,"New York, USA (index=100)"
48,Budapest,Hungary,Eastern Europe,52.0,19.0,37.5,47.0,55.0,82.0,1400,665,380,1.38,5.8,1.76,3,Moderate – Inflation Rising,Medium,57.1,2026,"New York, USA (index=100)"
49,Riyadh,Saudi Arabia,Middle East,51.0,25.0,40.0,51.0,40.0,110.0,2800,875,550,0.4,2.2,7.6,1,Low Cost – Oil Rich,High,62.9,2026,"New York, USA (index=100)"
50,Moscow,Russia,Eastern Europe,48.0,23.0,37.0,42.0,47.0,72.0,1100,805,480,0.68,9.5,12.5,4,Sanctions Impact – Moderate,Low,59.6,2026,"New York, USA (index=100)"
51,Bangkok,Thailand,Southeast Asia,48.0,21.0,36.0,44.0,41.0,78.0,900,735,420,1.08,1.5,10.5,4,Low Income – Affordable,Medium,57.1,2026,"New York, USA (index=100)"
52,Sao Paulo,Brazil,Latin America,44.0,22.0,34.5,42.0,44.0,52.0,700,770,450,0.92,5.0,12.3,4,Low Income – High Rent Ratio,Medium,58.4,2026,"New York, USA (index=100)"
53,Kuala Lumpur,Malaysia,Southeast Asia,44.0,22.0,34.5,42.0,39.0,88.0,1400,770,440,0.62,2.0,1.78,3,Moderate – Good PPP,Low,57.1,2026,"New York, USA (index=100)"
54,Beirut,Lebanon,Middle East,42.0,20.0,33.0,38.0,40.0,35.0,600,700,380,1.45,50.0,2.42,5,Conflict & Hyperinflation Crisis,High,54.3,2026,"New York, USA (index=100)"
55,St Petersburg,Russia,Eastern Europe,42.0,18.0,32.0,38.0,42.0,65.0,900,630,360,0.68,9.5,5.6,4,Sanctions Impact – Moderate,Low,57.1,2026,"New York, USA (index=100)"
56,Mexico City,Mexico,Latin America,40.0,22.0,33.0,33.0,39.0,58.0,800,770,450,1.05,4.8,21.6,3,Moderate – Growing Unaffordability,Medium,58.4,2026,"New York, USA (index=100)"
57,Amman,Jordan,Middle East,40.0,17.0,30.5,36.0,38.0,65.0,800,595,330,1.28,3.5,2.23,3,Moderate – War Impact Zone,High,55.5,2026,"New York, USA (index=100)"
58,Manila,Philippines,Southeast Asia,40.0,14.0,29.0,36.0,39.0,52.0,500,490,270,1.1,3.7,14.4,5,Severe Affordability Crisis,Medium,55.1,2026,"New York, USA (index=100)"
59,Cape Town,South Africa,Southern Africa,38.0,17.0,29.0,35.0,37.0,52.0,1200,595,340,1.12,4.5,4.62,4,Low Income – Cost Rising,High,57.1,2026,"New York, USA (index=100)"
60,Istanbul,Turkey,Western Asia,38.0,19.0,31.0,31.0,40.0,58.0,900,665,380,1.35,47.0,15.8,4,Severe Inflation Crisis,High,57.1,2026,"New York, USA (index=100)"
61,Lima,Peru,Latin America,38.0,15.0,30.0,30.0,38.0,55.0,600,525,300,1.12,3.8,10.9,3,Low Income – Cost Pressure,Medium,57.1,2026,"New York, USA (index=100)"
62,Almaty,Kazakhstan,Central Asia,38.0,18.0,30.0,34.0,36.0,72.0,750,630,350,0.55,8.5,1.91,3,Moderate – Resource Rich,Low,55.6,2026,"New York, USA (index=100)"
63,Kyiv,Ukraine,Eastern Europe,38.0,14.0,28.0,34.0,36.0,58.0,700,490,260,1.15,14.5,2.95,5,War-Driven Crisis,High,53.1,2026,"New York, USA (index=100)"
64,Jakarta,Indonesia,Southeast Asia,37.0,17.0,29.0,30.0,33.0,58.0,600,595,320,0.88,3.0,34.5,4,Low Income – High Density,Medium,53.8,2026,"New York, USA (index=100)"
65,Johannesburg,South Africa,Southern Africa,37.0,16.0,28.0,34.0,36.0,55.0,1300,560,310,1.12,4.5,5.63,4,Low Income – Cost Rising,High,55.4,2026,"New York, USA (index=100)"
66,Accra,Ghana,West Africa,36.0,15.0,27.0,32.0,34.0,48.0,420,525,280,0.95,18.0,2.51,5,Severe Inflation Crisis,High,53.3,2026,"New York, USA (index=100)"
67,Nairobi,Kenya,East Africa,36.0,14.0,27.0,30.0,33.0,55.0,450,490,260,1.2,6.8,5.0,4,Low Income – Moderate Pressure,High,53.1,2026,"New York, USA (index=100)"
68,Bogota,Colombia,Latin America,35.0,13.0,28.0,29.0,35.0,48.0,500,455,260,0.68,7.5,7.41,4,Low Income – High Inflation,Medium,57.1,2026,"New York, USA (index=100)"
69,Lagos,Nigeria,West Africa,35.0,12.0,25.0,30.0,32.0,44.0,380,420,220,0.55,34.0,15.0,5,Hyperinflation Crisis,High,52.4,2026,"New York, USA (index=100)"
70,Colombo,Sri Lanka,South Asia,35.0,13.0,26.0,31.0,33.0,52.0,450,455,240,1.05,14.0,0.75,5,Post-Crisis Recovery,High,52.7,2026,"New York, USA (index=100)"
71,Buenos Aires,Argentina,Latin America,34.0,14.0,28.0,28.0,30.0,38.0,550,490,280,1.17,150.0,3.07,5,Hyperinflation Crisis,High,57.1,2026,"New York, USA (index=100)"
72,Mumbai,India,South Asia,33.0,13.0,24.5,32.0,29.0,62.0,700,455,260,1.18,4.8,20.7,5,Severe Affordability Crisis,Medium,57.1,2026,"New York, USA (index=100)"
73,Casablanca,Morocco,North Africa,32.0,11.0,23.0,29.0,30.0,48.0,500,385,200,1.25,3.8,3.75,4,Low Income – Stable,Medium,51.9,2026,"New York, USA (index=100)"
74,Bangalore,India,South Asia,31.0,11.0,22.5,29.0,28.0,65.0,900,385,220,1.18,4.8,12.3,4,Low Income – Tech Hub,Medium,57.1,2026,"New York, USA (index=100)"
75,Delhi,India,South Asia,28.0,9.0,20.0,26.0,27.0,55.0,600,315,175,1.18,4.8,32.9,5,Severe Affordability Crisis,Medium,55.6,2026,"New York, USA (index=100)"
76,Dhaka,Bangladesh,South Asia,27.0,10.0,20.0,24.0,25.0,50.0,350,350,180,1.03,10.5,22.0,5,Severe Affordability Crisis,High,51.4,2026,"New York, USA (index=100)"
77,Karachi,Pakistan,South Asia,27.0,8.0,19.0,23.0,25.0,48.0,350,280,145,0.9,28.5,16.9,5,Severe Inflation Crisis,High,51.8,2026,"New York, USA (index=100)"
78,Cairo,Egypt,North Africa,26.0,7.0,18.5,22.0,24.0,42.0,165,245,130,0.42,28.0,21.7,5,Hyperinflation Crisis,High,53.1,2026,"New York, USA (index=100)"
79,Lahore,Pakistan,South Asia,26.0,7.0,18.0,22.0,24.0,46.0,320,245,125,0.9,28.5,13.9,5,Severe Inflation Crisis,High,51.0,2026,"New York, USA (index=100)"
80,Kathmandu,Nepal,South Asia,24.0,8.0,17.5,21.0,23.0,42.0,280,280,145,1.15,8.5,1.4,5,Low Income – Moderate Cost,High,51.8,2026,"New York, USA (index=100)"
